Word,Count
*,116
the,50
/<,46
,38
on,18
to,16
in,15
Bradley,15
a,15
Author:,15
File:,15
game,15
\2014,\,15
Created,15
Evans,15
\brief,14
November,12
PM,12
and,11
which,10
enumerated,9
of,8
\23,\,8
an,8
by,7
verb,7
class,7
noun,7
value,6
suspect,6
for,6
mutator,6
accessor,6
The,5
that,5
valid,5
stores,5
commands,4
out,4
as,4
with,4
Suspect's,4
found,4
\25,\,4
ask,4
AM,3
is,3
when,3
Verb,3
certain,3
parser,3
called,3
constructor,3
verbs,3
into,3
line,3
saved,3
SAVE,3
look,3
state,3
it,3
Noun,3
Stores,3
from,3
Intelligence,3
December,3
tree,3
file,3
descriptions,3
input,3
Enumerated,2
1:48,2
Returns,2
this,2
ability,2
\class,\,2
SUSPECT,2
clock,2
requires,2
Game,2
two,2
used,2
suspects,2
11:24,2
stored,2
lists:,2
Deception,2
text,2
statistics,2
converts,2
destructor,2
different,2
within,2
upon,2
can,2
if,2
nouns,2
9:42,2
5:53,2
such,2
Initialize,2
adding,2
functions,2
considered,2
EnumNoun,2
An,2
also,2
Honesty,2
debugging,2
playing,2
Contains,2
Writes,2
map,2
conditions,2
Adding,2
user,2
Exhaustion,2
Associated,2
1:23,2
be,2
5:54,2
specific,2
based,2
binary,2
GAMESTATE,2
DATA,2
one,2
form,2
Trust,2
\2,\,2
runs,2
PRIMARY,1
states,1
Takes,1
2D,1
list,1
intro,1
name,1
usable,1
current,1
modification,1
child,1
showStats(),1
Shows,1
COMMANDS,1
introduction,1
savegame.bin,1
passes,1
Game.cpp,1
memory,1
variables,1
later,1
what,1
program,1
PARSECMD_H,1
makes,1
find,1
\variables,\,1
\file,\,1
ParseCmd,1
question,1
truth,1
\left,\,1
values,1
Parses,1
create,1
Defines,1
parsing,1
cmdtree.h,1
Class,1
interrogation,1
ensures,1
Prints,1
code,1
Suspect.h,1
play,1
then,1
Reflects,1
noun's,1
are,1
details,1
function,1
verbstr,1
begins,1
Building,1
*\brief,1
EnumVerb,1
flags,1
loads,1
accent,1
Sequence,1
VERBS,1
virtual,1
trust,1
given,1
Suspect.cpp,1
\first,\,1
how,1
Iterator,1
array,1
Pointer,1
Converts,1
willingness,1
tell,1
Dice.cpp,1
investigator,1
Functions,1
Loads,1
contains,1
\clock,\,1
Verb::parseVerb(),1
parses,1
coming,1
SUSPECT_H,1
detected,1
taken,1
parsed,1
//,1
Demonstrates,1
\Noun,\,1
Called,1
new,1
lies,1
so,1
*Game,1
Text,1
strings,1
his,1
generated,1
update,1
changing,1
reason,1
input/output,1
\parser,\,1
GAME_H,1
takes,1
other,1
NOUN_H,1
STATS,1
corresponding,1
turned,1
10:57,1
previously-saved,1
cmdtree.cpp,1
5:52,1
dynamic,1
has,1
Loyalty,1
abstracted,1
ParseCmd.cpp,1
much,1
Command:,1
Verb.h,1
been,1
triggers,1
\words,\,1
Searches,1
Take,1
Saves,1
\taken,\,1
torture,1
--,1
Function,1
group,1
being,1
main.cpp,1
Suspect(),1
capture,1
accept,1
dynamically,1
A,1
5:49,1
ParseCmd.h,1
length,1
action,1
derived,1
was,1
command,1
conditions.h,1
Debugger,1
\4,\,1
\asked,\,1
user's,1
GAMESTATE_H,1
Noun.h,1
\suspect,\,1
NOUNS,1
Dice.h,1
loyalty,1
about,1
nounstr,1
happens,1
LOAD,1
Noun::parseNoun(),1
time,1
CMDTREE_H,1
In,1
mode,1
validate,1
character,1
\array,\,1
use,1
\ParseCmd,\,1
Initializes,1
Game.h,1
statistic,1
VERB_H,1
hit,1
Verb.cpp,1
