File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,380,323,254,40,22,5,35,243,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Dice.cpp,32,24,20,2,2,0,6,17,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Game.cpp,25,13,3,0,6,0,6,17,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\gamestate.cpp,10,6,4,0,2,0,2,6,0,0
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\main.cpp,63,47,35,4,6,2,10,68,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.cpp,28,24,18,2,4,0,0,0,0,0
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,33,23,16,4,4,0,6,17,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Suspect.cpp,37,27,21,3,4,0,6,17,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.cpp,41,30,24,2,5,0,6,17,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.h,39,25,15,0,5,8,9,56,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Dice.h,77,60,35,0,5,0,12,62,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Game.h,32,15,6,0,7,2,10,31,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\gamestate.h,38,20,8,0,9,1,9,55,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.h,55,27,11,0,6,7,22,168,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.h,35,21,12,0,6,1,8,52,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Suspect.h,50,33,26,0,6,20,11,130,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.h,50,27,11,0,6,7,17,137,6,17
