File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\main.cpp,main(),36,29,28,2,5,17,2,110,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.h,Gameclock::downtick(int loss),2,2,2,0,0,1,0,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.h,Gameclock::currtime(),2,2,2,1,0,1,0,3,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.h,Gameclock::initialize(),3,3,3,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.h,Dice::roll(int size),9,8,9,1,0,1,1,15,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.h,"printLine(string filename, int line)",23,20,18,2,3,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.h,cmd_ask_name(),15,15,13,2,0,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.h,cmd_look_suspect(),10,6,6,0,3,0,1,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,localPause(),6,6,6,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,"readInput(char* &command, const int MAXL, string &noun, string &verb)",39,33,30,2,5,10,1,52,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,verifyExit(char exitChoice),14,14,12,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,"validateInput(Verb verb, Noun noun)",11,11,9,6,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,initializeSuspect(),14,11,10,0,2,0,1,1,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,introduction(),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.h,parseNoun(string &noun),6,6,5,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.h,ask(Noun noun),7,6,5,1,1,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\verbs.h,parseVerb(const string &verb),6,6,5,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\verbs.h,"verbProc(Noun noun, Verb verb)",4,4,3,1,0,0,0,0,
