Word,Count
*,56
the,33
/<,19
,17
a,15
to,13
of,11
in,10
verb,10
with,9
and,9
is,9
on,8
command,7
for,7
The,6
Evans,6
\2014,\,6
Author:,6
input,6
October,6
as,6
Created,6
File:,6
noun,6
Bradley,6
PM,6
time,5
ask,5
this,5
character,5
user,5
look,5
cstring,4
then,4
from,4
will,4
used,4
at,4
invalid,4
out,4
be,4
if,4
function,3
array,3
\10,\,3
parsed,3
an,3
enum,3
game,3
it,3
suspect,3
which,3
parser,3
nouns.h,3
parsing,3
take,3
what,3
A,3
parse,2
iterator,2
decrement,2
well,2
are,2
remaining,2
3:32,2
\pointer,\,2
off,2
do,2
way,2
or,2
my,2
name,2
was,2
structures,2
\18,\,2
gives,2
quit,2
associate,2
arrays,2
associated,2
\noun,\,2
[X],2
nouns,2
exit,2
header,2
length,2
inbound,2
each,2
such,2
me,2
clock,2
functions,2
roll,2
See,2
dice,2
paired,1
read,1
Send,1
gameclock,1
has,1
5:12,1
\structures,\,1
action,1
determines,1
from:,1
some,1
],1
FUNCTION,1
end,1
ensure,1
information,1
commands,1
other,1
that,1
suspect_posture.txt,1
/,1
thing,1
\misinformation,\,1
I,1
torture,1
\"\auto"\\,1
implementation,1
initialized,1
give,1
demonstrates,1
modifiers,1
three,1
using,1
passed,1
StackExchange,1
last,1
delay,1
3:30,1
subject,1
main,1
description:,1
\invalid,\,1
came,1
prepare,1
lot,1
map,1
users,1
SYNTAX,1
your,1
starts,1
get,1
debug,1
now,1
truth,1
question,1
Variables,1
you're,1
actions,1
\commands,\,1
\"\ask\,1
thread:,1
clock.downtick(loss);,1
synonyms,1
VERBS_H,1
condition,1
Tracks,1
Defines,1
http://www.cplusplus.com/forum/general//119658,1
\valid,\,1
Some,1
\functions,\,1
list,1
process,1
so..,1
anything,1
2,1
[,1
tracks,1
when,1
delimiter,1
statePosture,1
system,1
\class"\\,1
\"\classes.h"\\,1
answer,1
run,1
allocation,1
\cooperation,\,1
place,1
dicerollers,1
define,1
go,1
tick,1
parseNoun(),1
specific,1
store,1
honest,1
pertains,1
into,1
Pull,1
down,1
cmdtree.h,1
rand(),1
interrogation,1
Control,1
DECLARATIONS,1
tired,1
total,1
documented,1
diceroller,1
..,1
localPause(),1
Main,1
Classes,1
doing,1
Using,1
for:,1
Structures,1
building,1
NOUNS_H,1
Interrogation,1
isn't,1
how,1
processed,1
interrogating,1
tree,1
suspect's,1
My,1
same,1
random,1
willingness,1
counter,1
Functions,1
likelihood,1
string,1
\19,\,1
don't,1
attack,1
Checklist,1
Displays,1
nothing,1
deceptive,1
line,1
takes,1
following,1
FUNCTIONS_H,1
\Noun,\,1
better,1
long,1
1,1
his,1
includes,1
\verb,\,1
Dependant,1
\hatred,\,1
externally,1
deny,1
\name"\\,1
midterm,1
http://stackoverflow.com/questions/26455952/error-c-map-does-not-name-a-type/26455995#26455995,1
(),1
member,1
not,1
person,1
result,1
statistics,1
keeping,1
\"\enum\,1
decide,1
base,1
particular,1
distract,1
(size),1
primary,1
8:33,1
iterated,1
Parse,1
subjects,1
final,1
Character,1
certain,1
where,1
permutations,1
text,1
CLASSES_H,1
Files,1
seed,1
being,1
general,1
all,1
say,1
verbs,1
To,1
internally,1
main.cpp,1
pointer,1
verbs.h,1
defined,1
Pointers,1
here,1
various,1
\Delay,\,1
responses,1
accidentally,1
8:39,1
\detected,\,1
verb.h,1
Memory,1
classes.h,1
very,1
Command,1
user's,1
tactic,1
bad,1
cmd_[noun]_[verb],1
\C++11,\,1
variable,1
rebel,1
exactly,1
possible,1
\time,\,1
CMDTREE_H,1
http://www.cprogramming.com/c++11/c++11-auto-decltype-return-value-after-function.html,1
validate,1
minimum,1
amount,1
assignment,1
use,1
classes,1
class,1
help,1
ignore,1
below:,1
documentation,1
functions.h,1
maximum,1
