File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.cpp,Gameclock::downtick(int loss),2,2,2,0,0,1,0,6,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.cpp,Gameclock::currtime(),2,2,2,1,0,1,0,4,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.cpp,Gameclock::initialize(),3,3,3,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.cpp,Dice::roll(int size),9,8,9,1,0,1,1,15,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.cpp,"printLine(string filename, int line)",23,20,18,2,3,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.cpp,cmd_ask_name(),15,15,13,2,0,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.cpp,cmd_look_suspect(),10,6,6,0,3,0,1,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,localPause(),6,6,6,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,"readInput(char* &command, const int MAXL, string &noun, string &verb)",39,33,30,2,5,10,1,58,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,verifyExit(char exitChoice),14,14,12,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,"validateInput(Verb verb, Noun noun)",11,11,9,6,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,initializeSuspect(),14,11,10,0,2,0,1,1,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.cpp,introduction(),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\main.cpp,main(),36,29,28,2,5,17,2,110,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.cpp,parseNoun(std::string &noun),6,6,5,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.cpp,ask(Noun noun),9,8,7,1,1,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.cpp,look(Noun noun),9,9,8,2,0,4,0,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\verbs.cpp,parseVerb(const string &verb),5,5,4,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\verbs.cpp,"verbProc(Noun noun, Verb verb)",6,6,5,2,0,0,0,0,
