Word,Count
*,119
the,65
/<,46
a,39
to,31
and,31
of,25
is,22
,19
in,18
with,17
for,15
verb,15
as,13
on,12
The,12
command,10
which,10
are,9
input,9
noun,9
by,9
this,9
suspect,9
an,8
game,8
user,7
from,7
will,7
out,7
then,7
be,7
Created,6
it,6
\2014,\,6
October,6
time,6
PM,6
function,6
character,6
Evans,6
structures,6
Author:,6
Bradley,6
cstring,6
nouns,6
File:,6
valid,6
-,5
arrays,5
A,5
what,5
used,5
ask,5
This,5
me,5
at,5
look,5
into,5
parsing,5
class,5
header,5
array,5
\section,4
if,4
specific,4
each,4
how,4
well,4
defines,4
parsed,4
functions,4
was,4
that,4
1,4
clock,4
new,3
or,3
enum,3
\10,\,3
See,3
line,3
roll,3
exit,3
other,3
take,3
I,3
associated,3
parser,3
my,3
value,3
not,3
\noun,\,3
[X],3
allocation,3
dice,3
way,3
given,3
statistics,3
map,3
tracks,3
when,3
text,3
nouns.h,3
enumerated,3
taken,2
do,2
iterated,2
diceroller,2
\18,\,2
record,2
process,2
\files,\,2
\pointer,\,2
Enumerated,2
general,2
based,2
program,2
place,2
Really,2
name,2
answer,2
system,2
build,2
internally,2
decide,2
How,2
complex,2
iterator,2
2,2
gives,2
remaining,2
list,2
Map,2
3:32,2
\"\ask\,2
off,2
\"\classes.h"\\,2
truth,2
player,2
Command,2
suspect's,2
random,2
Functions,2
quit,2
associate,2
passed,2
more,2
string,2
Pointers,2
told,2
ingame,2
using,2
inbound,2
parse,2
demonstrates,2
single,2
give,2
initialized,2
such,2
Show,2
Memory,2
different,2
.cpp,2
inputs,2
externally,2
includes,2
implementation,2
paired,2
Command:,2
purpose,2
--,2
\std::strings,\,2
length,2
gameclock,2
meant,2
two,2
Parse,2
An,2
\structures,\,2
verbs,2
main.cpp,1
from:,1
example,1
determines,1
Iniitalizes,1
converted,1
end,1
Works,1
ensure,1
information,1
commands,1
attempted,1
action,1
5:12,1
works,1
local,1
lets,1
\Outcomes,\,1
has,1
std::strings,1
5,1
http://stackoverflow.com/questions/26569177/compiler-error-enumerated-class-was-not-declared-in-this-scope?noredirect=1#comment41758610_26569177,1
Introduction,1
thing,1
\thing,\,1
Accepts,1
\misinformation,\,1
Send,1
Function,1
file's,1
~high,1
torture,1
than,1
read,1
some,1
handling,1
governed,1
comparing,1
Assignment,1
\"\truth\,1
match,1
anywhere,1
few,1
reveal,1
requested,1
whatever,1
upon,1
suspect_posture.txt,1
around,1
error,1
\table,"\\,1
assuming,1
/,1
\"\auto"\\,1
rather,1
modifiers,1
known_issues,1
every,1
delay,1
3:30,1
subject,1
main,1
3,1
totalScores,1
description:,1
\invalid,\,1
three,1
prepare,1
lot,1
either,1
users,1
StackExchange,1
compared,1
reliability,1
\Sometimes,\,1
conditions,1
pause,1
StackExchange:,1
Play,1
various,1
tell,1
Parses,1
cases,1
question,1
drive,1
Variables,1
\structures"\\,1
\mainpage,1
crude,1
last,1
\statistics,\,1
\commands,\,1
\validation,\,1
\interrogation,\,1
(handy,1
introduction,1
intro_sec,1
thread:,1
responses,1
came,1
real,1
VERBS_H,1
condition,1
Tracks,1
8:39,1
http://www.cplusplus.com/forum/general//119658,1
\valid,\,1
maximum,1
\functions,\,1
\"\wait"\\,1
Problems,1
SYNTAX,1
so..,1
dependencies,1
anything,1
modified,1
4,1
your,1
current,1
found,1
command).),1
have,1
Switch,1
one,1
delimiter,1
statePosture,1
starts,1
\class"\\,1
Print,1
there,1
any,1
invalid,1
left,1
\detected,\,1
get,1
\cooperation,\,1
\verbs,\,1
Zeroes,1
debug,1
\choice,\,1
doesn't,1
dicerollers,1
define,1
requirements,1
tick,1
parseNoun(),1
now,1
files,1
values,1
scores,1
posted,1
store,1
honest,1
pertains,1
want,1
admittedly,1
Pull,1
questioning,1
output,1
memory,1
cmdtree.h,1
you're,1
rand(),1
interrogation,1
Control,1
skill,1
\functions.h,\,1
actions,1
clock.downtick(loss);,1
total,1
skeleton,1
reference,1
documented,1
synonyms,1
Verifies,1
Defines,1
Main,1
increases,1
determine,1
Dice,1
named,1
doing,1
\system(pause),\,1
\used,\,1
moving,1
Using,1
\"\high\,1
for:,1
\employed,\,1
replace,1
building,1
run,1
NOUNS_H,1
Documentation,1
implemented,1
concept,1
isn't,1
only,1
down,1
Known,1
\lie,\,1
interrogating,1
proper,1
acting,1
My,1
but,1
~magic~,1
initializing,1
same,1
through,1
willingness,1
also,1
silence,1
compile,1
Game,1
work,1
Requirements,1
..,1
\19,\,1
localPause(),1
attack,1
Classes,1
Checklist,1
enters,1
may,1
actual,1
integer,1
nothing,1
detail-rich,1
questions,1
them,1
