File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\main.cpp,main(),38,32,31,2,4,17,2,118,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\classes.h,Gameclock::downtick(int loss),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\classes.h,Gameclock::currtime(),2,2,2,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\classes.h,Gameclock::initialize(),3,3,3,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\classes.h,Dice::roll(int size),16,14,14,2,1,1,1,15,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\cmdtree.h,"printLine(string filename, int line)",23,20,18,2,3,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\cmdtree.h,cmd_ask_name(),15,15,13,2,0,1,0,4,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\cmdtree.h,cmd_look_suspect(),10,6,6,0,3,0,1,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,localPause(),6,6,6,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,"readInput(char* &command, const int MAXL, string &noun, string &verb)",40,34,31,2,5,10,1,52,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,verifyExit(char exitChoice),14,14,12,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,"validateInput(Verb verb, Noun noun)",11,11,9,6,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,initializeSuspect(),14,11,10,0,2,0,1,1,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,introduction(),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,zeroScores(),6,6,5,1,0,1,0,12,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,totalScores(),32,32,27,6,0,1,0,12,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\nouns.h,parseNoun(string &noun),6,6,5,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\nouns.h,ask(Noun noun),8,7,6,1,1,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\nouns.h,look(Noun noun),6,6,5,2,0,1,0,2,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\verbs.h,parseVerb(const string &verb),6,6,5,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\verbs.h,"verbProc(Noun noun, Verb verb)",5,5,4,1,0,1,0,13,
